Country,Ease of Business,Business Tax Rate,Ease of Business (clusters),Hours to do Tax,Region,Year,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Afghanistan,170,0.363,Low,275,Asia,12/1/2012,0.035,,7,,20506795254,0.086,51,0.072,0.055,0.15,62,59,0.655,0.474,0.503,0.023,29824536,0.255,116000000,80000000
Albania,82,0.32,Friendly,357,Europe,12/1/2012,0.013,,5,,12344532541,0.06,228,0.014,0.547,0.109,80,74,1.107,0.213,0.681,0.106,2801681,0.543,1623000000,1374000000
Algeria,151,0.719,Low,451,Africa,12/1/2012,0.025,,25,,204331000000,0.052,279,0.022,0.152,0.08,73,69,0.975,0.274,0.679,0.047,38481705,0.689,295000000,559000000
American Samoa,,,Not Clustered,,Oceania,12/1/2012,,,,,,,,,,,,,,,,,55128,0.874,,
Andorra,,,Not Clustered,,Europe,12/1/2012,0.01,,,,,0.083,3057,0.002,0.864,,,,0.815,,,,78360,0.867,,
Angola,178,0.521,Low,282,Africa,12/1/2012,0.045,,66,,115332000000,0.035,190,0.104,0.169,0.167,53,50,0.614,0.476,0.5,0.024,20820525,0.417,711000000,292000000
Antigua and Barbuda,66,0.41,Friendly,207,The Americas,12/1/2012,0.017,,21,,1194074074,0.052,681,0.008,0.59,0.102,78,73,1.43,0.254,0.675,0.071,89069,0.251,,
Argentina,121,1.078,Moderate,405,The Americas,12/1/2012,0.017,,25,,603153000000,0.085,995,0.012,0.558,0.141,80,72,1.566,0.244,0.648,0.108,41086927,0.913,5655000000,8213000000
Armenia,40,0.388,Very Friendly,380,Asia,12/1/2012,0.014,,8,,9958217880,0.045,150,0.015,0.392,0.172,78,71,1.119,0.203,0.693,0.103,2969081,0.632,487000000,556000000
Aruba,,,Not Clustered,,The Americas,12/1/2012,0.01,,,,,,,,0.74,0.092,78,73,1.319,0.199,0.69,0.11,102384,0.424,1414000000,296000000
Australia,10,0.472,Very Friendly,109,Oceania,12/1/2012,0.014,,3,133681,1532410000000,0.091,6140,0.004,0.79,0.07,84,80,1.056,0.189,0.671,0.14,22723900,0.89,34130000000,34704000000
Austria,28,0.524,Very Friendly,170,Europe,12/1/2012,0.009,,25,32896,394458000000,0.115,5407,0.003,0.8,,84,78,1.605,0.145,0.672,0.182,8429991,0.659,21446000000,12352000000
Azerbaijan,71,0.4,Friendly,214,Asia,12/1/2012,0.019,,8,,68730906314,0.054,398,0.031,0.542,0.183,74,68,1.088,0.222,0.721,0.057,9295784,0.539,2634000000,2616000000
"Bahamas, The",76,0.466,Friendly,58,The Americas,12/1/2012,0.015,,24,,8149004000,0.075,1647,0.011,0.717,0.048,78,72,0.807,0.216,0.71,0.074,371960,0.827,2415000000,384000000
Bahrain,47,0.135,Very Friendly,36,Middle East,12/1/2012,0.016,,9,,30362317939,0.039,895,0.006,0.88,0.06,77,76,1.612,0.202,0.777,0.021,1317827,0.886,1742000000,889000000
Bangladesh,132,0.35,Moderate,302,Asia,12/1/2012,0.02,,19,,116034000000,0.036,26,0.035,0.058,0.13,71,70,0.628,0.306,0.647,0.047,154695368,0.32,110000000,829000000
Barbados,84,0.408,Friendly,237,The Americas,12/1/2012,0.013,,18,,4224850000,0.063,938,0.014,0.733,0.087,78,73,1.233,0.19,0.704,0.106,283221,0.318,,
Belarus,64,0.605,Friendly,338,Europe,12/1/2012,0.012,,10,,63615445567,0.05,339,0.004,0.469,0.195,78,67,1.135,0.151,0.711,0.138,9464000,0.755,986000000,781000000
